id,title,description,prep_time,cook_time,servings,instructions,diets
1,Jajecznica klasyczna,Puszysta jajecznica na maśle z szczypiorkiem,5,10,2,"1. Roztop masło na patelni\n2. Wbij jajka\n3. Smaż mieszając\n4. Dopraw solą i pieprzem\n5. Posyp szczypiorkiem","wegetariańska"
2,Spaghetti Carbonara,Klasyczne włoskie danie z boczkiem,15,20,4,"1. Ugotuj makaron\n2. Usmaż boczek\n3. Zmieszaj jajka z parmezanem\n4. Połącz z makaronem",""
3,Sałatka grecka,Świeża sałatka z fetą i oliwkami,15,0,4,"1. Pokrój warzywa\n2. Dodaj oliwki i fetę\n3. Polej oliwą","wegetariańska,śródziemnomorska"
4,Curry z ciecierzycy,Aromatyczne curry na mleku kokosowym,10,30,4,"1. Podsmaż cebulę i czosnek\n2. Dodaj przyprawy\n3. Wlej mleko kokosowe\n4. Dodaj ciecierzycę","wegańska,wegetariańska"
5,Placki bananowe,Puszyste placiki z bananami,10,15,4,"1. Rozgnieć banany\n2. Dodaj jajka i mąkę\n3. Smaż na oleju","wegetariańska"
6,Zupa pomidorowa,Klasyczna zupa z świeżych pomidorów,20,30,6,"1. Zblenduj pomidory\n2. Podduś z warzywami\n3. Dodaj bulion\n4. Gotuj 20 min","wegetariańska"
7,Kurczak teriyaki,Kurczak w słodko-kwaśnym sosie,15,20,4,"1. Pokrój kurczaka\n2. Usmaż na patelni\n3. Dodaj sos teriyaki","wysokobiałkowa"
8,Shakshuka,Jajka w sosie pomidorowym,10,20,3,"1. Przygotuj sos pomidorowy\n2. Zrób wgłębienia\n3. Wbij jajka\n4. Piecz w piekarniku","wegetariańska"
9,Brownie czekoladowe,Czekoladowe ciasto z orzechami,20,35,8,"1. Roztop masło z czekoladą\n2. Wymieszaj z jajkami i cukrem\n3. Dodaj mąkę i orzechy\n4. Piecz","wegetariańska"
10,Koktajl jagodowy,Owocowy koktajl na bazie jogurtu,5,0,2,"1. Zmiksuj jagody z jogurtem\n2. Dodaj mleko\n3. Podawaj schłodzony","wegetariańska"
11,Risotto grzybowe,Kremowe risotto z pieczarkami,15,25,3,"1. Podsmaż ryż z cebulą\n2. Dodaj grzyby\n3. Stopniowo dolewaj bulion","wegetariańska"
12,Tosty awokado,Tosty z pastą z awokado,10,5,2,"1. Przygotuj pastę z awokado\n2. Podpiecz chleb\n3. Posmaruj pastą","wegańska,wegetariańska"
13,Gulasz wołowy,Tradycyjny gulasz z wołowiny,20,120,6,"1. Obsmaż mięso\n2. Dodaj warzywa\n3. Duś na wolnym ogniu","wysokobiałkowa"
14,Omlet warzywny,Puszysty omlet z warzywami,10,10,2,"1. Roztrzep jajka\n2. Dodaj pokrojone warzywa\n3. Smaż na patelni","wegetariańska,wysokobiałkowa"
15,Hummus,Kremowa pasta z ciecierzycy,15,0,6,"1. Zmiksuj ciecierzycę\n2. Dodaj tahini i czosnek\n3. Skrop oliwą","wegańska,wegetariańska"
16,Łosoś pieczony,Łosoś z piekarnika z cytryną,10,20,2,"1. Natrzyj łososia przyprawami\n2. Ułóż na blasze\n3. Piecz 180°C","bezglutenowa,wysokobialkowa"
17,Chili con carne,Ostra potrawa z mięsa i fasoli,20,60,6,"1. Obsmaż mięso\n2. Dodaj warzywa i fasolę\n3. Duś 45 min","wysokobialkowa"
18,Naleśniki z serem,Klasyczne naleśniki z białym serem,15,20,4,"1. Przygotuj ciasto\n2. Usmaż naleśniki\n3. Nadziewaj serem","wegetariańska"
19,Sałatka cezar,Chrupiąca sałatka z kurczakiem,20,15,2,"1. Usmaż kurczaka\n2. Przygotuj grzanki\n3. Wymieszaj składniki",""
